City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,13.99,96,55,6.5,ZA,1697509093
1,constantia,44.1833,28.65,4.38,58,10,1.75,RO,1697508986
2,noosa heads,-26.3833,153.15,23.52,61,96,7.59,AU,1697508919
3,thompson,55.7435,-97.8558,8.09,87,75,1.03,CA,1697509093
4,sao paulo de olivenca,-3.3783,-68.8725,22.96,97,59,0.72,BR,1697509093
5,waitangi,-43.9535,-176.5597,14.34,87,65,3.58,NZ,1697509094
6,puerto natales,-51.7236,-72.4875,4.72,91,100,4.61,CL,1697509094
7,kodiak,57.79,-152.4072,8.73,93,100,2.57,US,1697509094
8,invercargill,-46.4,168.35,11.68,57,57,4.92,NZ,1697509094
9,lihue,21.9789,-159.3672,27.77,71,75,4.63,US,1697509094
10,cascais,38.6979,-9.4215,22.64,96,12,13.41,PT,1697508972
11,ushuaia,-54.8,-68.3,5.81,70,75,6.71,AR,1697509095
12,adamstown,-25.066,-130.1015,22.13,85,9,3.2,PN,1697509095
13,tadine,-21.55,167.8833,23.82,78,98,5.67,NC,1697509095
14,longyearbyen,78.2186,15.6401,-4.09,63,40,5.66,SJ,1697509095
15,college,64.8569,-147.8028,4.14,76,75,2.06,US,1697509095
16,edinburgh of the seven seas,-37.0676,-12.3116,11.93,72,55,4.22,SH,1697509096
17,port-aux-francais,-49.35,70.2167,2.86,87,94,12.68,TF,1697509096
18,panjab,34.388,67.0233,1.21,86,2,1.16,AF,1697509096
19,hithadhoo,-0.6,73.0833,27.38,69,100,7.71,MV,1697509096
20,yellowknife,62.456,-114.3525,4.12,100,20,3.09,CA,1697509097
21,minas de marcona,-15.2119,-75.1103,14.66,85,81,3.88,PE,1697509038
22,bera,24.0833,89.6167,26.4,72,2,1.08,BD,1697509097
23,cataingan,12.003,123.992,28.53,75,100,3.16,PH,1697509097
24,yuzhno-kurilsk,44.0306,145.8556,10.76,75,47,6.29,RU,1697509097
25,jalai nur,49.45,117.7,7.29,55,35,9.55,CN,1697509098
26,camayenne,9.535,-13.6878,26.71,84,84,2.72,GN,1697509098
27,chonchi,-42.6128,-73.8092,7.56,98,11,1.72,CL,1697509050
28,don luan,11.5333,106.9167,28.86,77,93,0.37,VN,1697509098
29,bakchar,57.0186,82.0711,7.97,94,100,2.26,RU,1697509098
30,klyuchi,52.2667,79.1667,9.5,70,100,3.81,RU,1697509098
31,sahaswan,28.0833,78.75,20.21,79,53,1.07,IN,1697509099
32,conde,-7.2597,-34.9075,22.7,88,20,2.06,BR,1697508880
33,swakopmund,-22.6833,14.5333,12.77,88,0,0.64,NA,1697509099
34,port mathurin,-19.6833,63.4167,24.24,85,3,3.27,MU,1697509099
35,wailua homesteads,22.0669,-159.378,27.44,77,75,4.63,US,1697509099
36,vejalpur,22.6833,73.5667,25.22,60,0,1.47,IN,1697509099
37,olonkinbyen,70.9221,-8.7187,0.18,87,98,8.14,SJ,1697509100
38,colac,-38.3333,143.5833,15.65,38,2,0.63,AU,1697509100
39,puerto ayora,-0.7393,-90.3518,23.64,94,37,1.34,EC,1697509100
40,ihosy,-22.4,46.1167,19.34,90,88,1.74,MG,1697509100
41,vilyuchinsk,52.9306,158.4028,9.15,93,100,12.42,RU,1697509101
42,guerrero negro,27.9769,-114.0611,20.97,81,0,6.96,MX,1697509101
43,kavaratti,10.5669,72.642,28.09,75,100,4.62,IN,1697509101
44,selfoss,63.9331,-20.9971,3.91,85,100,2.72,IS,1697509101
45,nikolayevsk-on-amure,53.1406,140.73,5.84,93,100,3.93,RU,1697509101
46,saint-joseph,-21.3667,55.6167,22.21,87,47,0.82,RE,1697509102
47,kayangel,8.0823,134.7173,27.95,77,77,2.89,PW,1697509102
48,albany,42.6001,-73.9662,10.81,80,100,1.67,US,1697508899
49,saipan,15.1355,145.701,30.39,74,40,5.66,MP,1697509102
50,imbituba,-28.24,-48.6703,19.92,95,100,6.74,BR,1697509081
51,stanley,54.868,-1.6985,-0.99,100,0,1.03,GB,1697509102
52,ribeira grande,38.5167,-28.7,19.32,89,100,0.45,PT,1697509103
53,vadso,70.0744,29.7487,1.49,80,93,4.12,NO,1697509103
54,howard springs,-12.497,131.047,33.79,24,72,3.15,AU,1697509103
55,tuzlukcu,38.4778,31.6264,11.06,82,10,1.52,TR,1697509103
56,grytviken,-54.2811,-36.5092,-0.13,92,59,4.58,GS,1697509103
57,waddan,29.1614,16.139,20.16,38,0,3.58,LY,1697509104
58,ain touta,35.3768,5.9,15.89,36,26,2.19,DZ,1697509104
59,hadibu,12.65,54.0333,26.8,75,1,1.28,YE,1697509104
60,novodvinsk,64.4165,40.8122,3.77,78,100,4.23,RU,1697509104
61,ilulissat,69.2167,-51.1,-8.99,67,100,11.83,GL,1697509105
62,hermanus,-34.4187,19.2345,15.29,89,9,4.23,ZA,1697509105
63,cartagena del chaira,1.3349,-74.8429,22.81,92,60,1.47,CO,1697509105
64,port elizabeth,-33.918,25.5701,15.73,92,0,2.24,ZA,1697509105
65,west island,-12.1568,96.8225,26.99,78,75,7.2,CC,1697509106
66,kudahuvadhoo,2.6708,72.8944,27.61,77,19,7.49,MV,1697509106
67,blackmans bay,-43.0167,147.3167,18.74,47,11,0.45,AU,1697509106
68,talnakh,69.4865,88.3972,-0.44,95,100,2.09,RU,1697509107
69,avarua,-21.2078,-159.775,23.03,64,75,5.14,CK,1697509107
70,mananjary,-21.2167,48.3333,22.61,96,38,1.84,MG,1697509107
71,tela,15.7833,-87.45,25.55,89,100,2.78,HN,1697509107
72,lebu,-37.6167,-73.65,9.73,86,0,9.11,CL,1697509107
73,dawesville,30.9224,-84.0091,15.76,66,100,0.89,US,1697509107
74,bethel,41.3712,-73.414,11.47,84,75,0.0,US,1697508954
